country,platform,seller_used_id,seller_url,seller_name
PH,SHP,PH.SHP.410866235,https://shopee.ph/shop/,
PH,SHP,PH.SHP.238953285,https://shopee.ph/shop/,
SG,SHP,SG.SHP.348106197,https://shopee.sg/shop/348106197,
SG,SHP,SG.SHP.7876349,https://shopee.sg/shop/7876349,
SG,SHP,SG.SHP.7975018,https://shopee.sg/shop/7975018,
SG,SHP,SG.SHP.1458952825,https://shopee.sg/shop/1458952825,
SG,SHP,SG.SHP.379403271,https://shopee.sg/shop/379403271,
SG,SHP,SG.SHP.1326136418,https://shopee.sg/shop/1326136418,
SG,SHP,SG.SHP.5892167,https://shopee.sg/shop/5892167,
SG,SHP,SG.SHP.292436826,https://shopee.sg/shop/292436826,
SG,SHP,SG.SHP.263323357,https://shopee.sg/shop/263323357,
TW,SHP,TW.SHP.50662979,https://shopee.tw/shop/50662979,
TW,SHP,TW.SHP.19788054,https://shopee.tw/shop/19788054,
TW,SHP,TW.SHP.14729672,https://shopee.tw/shop/14729672,
TW,SHP,TW.SHP.1566679,https://shopee.tw/shop/1566679,
TW,SHP,TW.SHP.11527054,https://shopee.tw/shop/11527054,
TW,SHP,TW.SHP.390025330,https://shopee.tw/shop/390025330,
TW,SHP,TW.SHP.2817245,https://shopee.tw/shop/2817245,
TW,SHP,TW.SHP.40343651,https://shopee.tw/shop/40343651,
TW,SHP,TW.SHP.46769799,https://shopee.tw/shop/46769799,
TW,SHP,TW.SHP.15100407,https://shopee.tw/shop/15100407,
TW,SHP,TW.SHP.49096868,https://shopee.tw/shop/49096868,
TW,SHP,TW.SHP.67286155,https://shopee.tw/shop/67286155,
TW,SHP,TW.SHP.1801802,https://shopee.tw/shop/1801802,
TW,SHP,TW.SHP.862568565,https://shopee.tw/shop/862568565,
TW,SHP,TW.SHP.33206500,https://shopee.tw/shop/33206500,
TW,SHP,TW.SHP.98425451,https://shopee.tw/shop/98425451,
TW,SHP,TW.SHP.329265193,https://shopee.tw/shop/329265193,
TW,SHP,TW.SHP.5087546,https://shopee.tw/shop/5087546,
TW,SHP,TW.SHP.35695297,https://shopee.tw/shop/35695297,
TW,SHP,TW.SHP.159259313,https://shopee.tw/shop/159259313,
TW,SHP,TW.SHP.326491541,https://shopee.tw/shop/326491541,
TW,SHP,TW.SHP.234972703,https://shopee.tw/shop/234972703,
TW,SHP,TW.SHP.3347166,https://shopee.tw/shop/3347166,
TW,SHP,TW.SHP.45057582,https://shopee.tw/shop/45057582,
TW,SHP,TW.SHP.131694831,https://shopee.tw/shop/131694831,
TW,SHP,TW.SHP.37871966,https://shopee.tw/shop/37871966,
TW,SHP,TW.SHP.34901124,https://shopee.tw/shop/34901124,
TW,SHP,TW.SHP.5803780,https://shopee.tw/shop/5803780,
TW,SHP,TW.SHP.686880369,https://shopee.tw/shop/686880369,
TW,SHP,TW.SHP.14096832,https://shopee.tw/shop/14096832,
TW,SHP,TW.SHP.8430134,https://shopee.tw/shop/8430134,
TW,SHP,TW.SHP.50977696,https://shopee.tw/shop/50977696,
TW,SHP,TW.SHP.7548612,https://shopee.tw/shop/7548612,
TW,SHP,TW.SHP.20468449,https://shopee.tw/shop/20468449,
TW,SHP,TW.SHP.255293716,https://shopee.tw/shop/255293716,
TW,SHP,TW.SHP.53446858,https://shopee.tw/shop/53446858,
TW,SHP,TW.SHP.15199365,https://shopee.tw/shop/15199365,
TW,SHP,TW.SHP.567111110,https://shopee.tw/shop/567111110,
TW,SHP,TW.SHP.89877771,https://shopee.tw/shop/89877771,
TW,SHP,TW.SHP.14817961,https://shopee.tw/shop/14817961,
TW,SHP,TW.SHP.8833140,https://shopee.tw/shop/8833140,
TW,SHP,TW.SHP.90494538,https://shopee.tw/shop/90494538,
